id,toponimo,provincia,comune,bibliografia,etimologia,classificazione,localizzato,position_x,position_y,,,,,,,,,,,,,,,,,
106,Picucovu,Fermo,Amandola,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
107,Pianelle,/,Villa,de,Macerata,Sarnano,Pieri,S.,,1969:269,Planum.,,geotoponimo,Si,362233,4763396,,,,,,,,,,
108,Planum,Berri,Fermo,Amandola,Pieri,S.,1969:269,Planum.,,geotoponimo,Si,356980,4760383,,,,,,,,,,,,,
109,Pie,di,Valle,Fermo,Amandola,Pieri,S.,1969:,321,Vallem,,geotoponimo,Si,362349,4756999,,,,,,,,,,,
110,Collem,Petrocchi,Fermo,Amandola,Giammarco,E.,1960,Petrocchelle,ovvero,ciottolo,levigato,dalla,corrente,del,fiume.,,oronimo,Si,367402,4765836,,,,,,
111,Piobbico,/,Publica,Macerata,Gualdo,Pieri,S.,1969:,270,Poblicum,=,pubblico.,Come,S.,Maria,inter,rivora,�,attestata,dal,1059,gromatico,Si,358458,4763267,
112,Salino,/,torrente,,,,,idronimo,Si,361512,4769005,,,,,,,,,,,,,,,
113,Plagia,Fermo,Amandola,Giammarco,,E.,1990:309,Plagia,=,terreno,in,declivio.,,geotoponimo,Si,361668,4759930,,,,,,,,,
114,Preta,Fermo,Amandola,Giammarco,E.1960:90,Prete,=,pietra.,geotoponimo,Si,363853,4758898,,,,,,,,,,,,,,
116,Quatra,Fermo,Amandola,Giammarco,E.1960:144,e,189,Terreno,a,ripiano,o,a,terrazza,o,anche,terreno,di,forma,quadrangolare.,,geotoponimo,Si,362663,4762351,,
117,Ralicine,Fermo,Amandola,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
118,Rivoscano,/,torrente,Fermo,Amandola,,Non,determinabile,idronimo,Si,370174,4761845,,,,,,,,,,,,,,
119,Reverie,Fermo,Amandola,Giammarco,E.1960:23,Rivere,=,acqua,che,scorre,,pioggia,,torrente.,,oronimo,Si,369402,4762136,,,,,,,
120,Rigaccioli,Fermo,Amandola,Pieri,S.1969:314,Rivum,=,torrente.,,idronimo,No,0,0,,,,,,,,,,,,,
121,Rivi-Torti,Fermo,Amandola,Pieri,S.,1969:277,Tortum=,tortuoso.,,idronimo,Si,367924,4763510,,,,,,,,,,,,,
122,Rota,Fermo,Amandola,Pieri,S.,,1969:357,Rotam,=,polla,d'acqua.,,,idronimo,No,0,0,,,,,,,,,
123,Rovetulo,Fermo,Montefortino,Pieri,S.,1969:202,Rubum,=,rovo.,fitotoponimo,Si,363891,4757170,,,,,,,,,,,,,
124,Rubbiani,Macerata,Sarnano,Schulze 1966:424; Pieri S. 1969:129; Pellegrini G.B. 1981:257,Rubius.,,prediale,Si,361286,4764916,,,,,,,,,,,,,,,,
125,Collem,Sciarre,/,Scirre,Fermo,Amandola,Giammarco,,E.1990:,358,Sciarra,=,lite.,,oronimo,No,0,0,,,,,,,,
126,S.,Maria,de,sopra,Macerata,Sarnano,,,agionimo,Si,363911,4766010,,,,,,,,,,,,,,
127,Sancto,Paulo,Fermo,Amandola,,,agionimo,Si,361809,4760240,,,,,,,,,,,,,,,,
128,S.,Stephani,Fermo,Amandola,,,idronimo,Si,368906,4764196,,,,,,,,,,,,,,,,
129,Staterano,Ascoli,Piceno,Montefortino,,Statori,prediale,Si,360518,4756873,,,,,,,,,,,,,,,,
130,Sarnano,Macerata,Sarnano,Schulze 1966:571; Pellegrini G.B. 1981:257,Sarnus.,,prediale?,Si,361644,4766189,,,,,,,,,,,,,,,,
131,Sculche,Fermo,Amandola,Pellegrini,G.B.,1981:,290,Skulk,=,guardia.,,localit�,Si,357945,4757706,,,,,,,,,,,
132,Schegia,Fermo,Amandola,Pieri,S.,1969:317,Schidiam,=,scheggia.,,geotoponimo,Si,368515,4763708,,,,,,,,,,,,
133,Schito,Fermo,Amandola,Finamore,,E.1980:183,Aesculum,tipo,di,quercia.,,fitotoponimo,Si,367060,4758694,,,,,,,,,,,
134,Scorticchia,Fermo,Amandola,Giammarco,E.,1990:359,Scortica,=per,la,natura,dei,luoghi.,geotoponimo,No,0,0,,,,,,,,,,
135,Acqua,santa,Fermo,Amandola,Pieri,S.1969:274,Sorgenti,di,acqua,termale,o,minerale,idronimo,Si,359968,4760256,,,,,,,,,,
136,Sporgia,/,rigum,Fermo,Amandola,Pieri S.1969: 209; Giammarco E. 1960:93,Spongiam,=,spugna,,detto,anche,per,il,travertino.,,idronimo,No,0,0,,,,,,
139,Planu,Sudale,Fermo,Amandola,,Sodo=,compatto,,ovvero,terra,incolta,,non,lavorata,geotoponimo,Si,361924,4761401,,,,,,,,
140,Tenna,/,fiume,Fermo,Amandola,Pellegrini,G.B.,1981:,239,Tinna.,,idronimo,Si,367163,4760886,,,,,,,,,,,
141,Tennacola,/,torrente,Fermo,Amandola,Pellegrini,G.B.,1981:,239,Tinna.,,idronimo,Si,360708,4765049,,,,,,,,,,,
142,Terro,/,torrente,Macerata,Sarnano,,Non,determinabile,idronimo,Si,361147,4766726,,,,,,,,,,,,,,
143,Tissiani,Macerata,Sarnano,Schulze 1966:98; Pieri S.  1969:51,Tessius.,,prediale,Si,361684,4763218,,,,,,,,,,,,,,,,
144,Tragiaria,Fermo,Amandola,Giammarco,E.,1960:173,Trajarecce,=,strada,carraia,,termine,medievale.,,localit�,Si,357660,4759585,,,,,,,,
145,Ulmi,/,fonte,Fermo,Amandola,Giammarco,E.,1990:393,Ulmetum,=,olmo.,idronimo/fitotoponimo,No,0,0,,,,,,,,,,,
146,Valle,Fermo,Amandola,Pieri,S.,1969:,321,Vallem.,,geotoponimo,Si,362108,4758043,,,,,,,,,,,,,
147,Anniano,Fermo,Amandola,Schulze 1966:122; Pieri S.1969:91 . ,Annius.,,prediale,Si,369179,4758879,,,,,,,,,,,,,,,,
148,Vallatum,Iois,Peronelle,Fermo,Amandola,Pieri,S.,1969:232,Pecus,=,pecora.,geotoponimo/zootoponimo,No,0,0,,,,,,,,,,,
149,Valle,Articti,Fermo,Amandola,,Non,determinabile,geotoponimo,No,0,0,,,,,,,,,,,,,,,
150,Valle,da,Sena,Macerata,Sarnano,,Non,determinabile,geotoponimo,Si,364084,4765886,,,,,,,,,,,,,,
151,Valli,Baccaroni,Fermo,Amandola,,Nome,di,persona,geotoponimo,No,0,0,,,,,,,,,,,,,,
152,Val,de,lu,re,Fermo,Amandola,,,geotoponimo,No,0,0,,,,,,,,,,,,,,
153,Valle,Florita,Macerata,Sarnano,Pieri,S.,1970:238,Flos.,,geotoponimo,No,0,0,,,,,,,,,,,,,
154,Valle,tre,Salti,Macerata,Sarnano,Pieri,S.,1969:315,Saltus,=,terreno,boscoso,/,gromatico.,,geotoponimo/gromatico,Si,358384,4761511,,,,,,,
155,Vecciole,Macerata,Sarnano,,,localit�,Si,361506,4768002,,,,,,,,,,,,,,,,,
156,Vena,Fermo,Montefortino,Pieri,S.,1969:168.,,322,Risorsa,mineraria,o,da,avenam.,,geotoponimo,Si,366023,4757956,,,,,,,,
157,Visiano,/,Vesciano,Fermo,Amandola,Finamore,,E.,1980:210,Vesianum.,,prediale,Si,365216,4764455,,,,,,,,,,,
158,Migliarino,Fermo,Amandola,Pieri,S.1969:191,Milium,=,miglio.,fitotoponimo,No,0,0,,,,,,,,,,,,,,
159,Amastro,-,Vetermastro,/,torrente,Fermo,Amandola,Pellegrini G. B.1994:237; oppure pianta che cresce bene Giammarco E.1960:13,Amaru,=,amaro.Oppure,pianta,che,cresce,bene,Giammarco,E.1960:13,idronimo,Si,367518,4757479,,,,,
160,Vetece,Fermo,Montefortino,,,localit�,Si,362718,4756443,,,,,,,,,,,,,,,,,
161,Vetulo,Macerata,Sarnano,,,localit�,Si,362112,4763788,,,,,,,,,,,,,,,,,
162,S.,Vitale,e,Ruffino,Fermo,Amandola,,,agionimo,Si,369870,4762888,,,,,,,,,,,,,,
163,S.,Angelo,inter,duas,Tennas,Fermo,Monte,San,Martino,,,agionimo,Si,372901,4765481,,,,,,,,,,,
164,S.,Michaelis,/,Villa,Macerata,Sarnano,,,localit�,Si,362066,4764836,,,,,,,,,,,,,,
165,Fresseneta,Macerata,Sarnano,Pieri,S.1969:182,Fraxinum,=,frassino.,fitotoponimo,Si,360071,4764304,,,,,,,,,,,,,,
166,Villa,Abbadonum,Macerata,Sarnano,Pieri,S.1969:369,Abbatem,=,Abate,localit�,Si,361824,4765539,,,,,,,,,,,,,
167,S.,Maria,de,Collina,0,0,,,agionimo,No,0,0,,,,,,,,,,,,,,
168,S.,Maria,de,Ricupulo,Macerata,Sarnano,,Ricola?,=,strada.,Calle,agionimo,Si,363881,4764908,,,,,,,,,,,
169,Cese,(di,Amandola),/,villa,Fermo,Amandola,Giammarco E. 1990:97; Finamore E. 1980 25,Caedare=,tagliare.,,agrotoponimo,Si,364111,4762801,,,,,,,,,,,
170,Arcelle,/,villa,Macerata,Sarnano,Pieri,S.,1969:326,"Arcam =  segnacolo confinario rettangolare o squadrato spesso inciso; letteralmente cassetta, scatola.  ",gromatico,Si,363779,4762536,,,,,,,,,,,,,
171,Golefrigo,Macerata,Sarnano,,Non,determinabile,localit�,Si,363377,4763778,,,,,,,,,,,,,,,,
172,Masseniani,Macerata,Gualdo,Pellegrini,G.B.,1981:253.,oppure,da,Messena,/,Messenus,Pieri,S.1969:27,Massinius.,Oppure,da,Messena,/,Messenus,,prediale,Si,365549,4767949,,
173,Folciano,Macerata,Gualdo,Schulze 1966:169; Pieri S. 1970:85,Fulcius,cfr,Fulcennius-inius,,prediale?,Si,364468,4767694,,,,,,,,,,,,,,
174,Massentii,/,Villa,Macerata,Gualdo,,Non,determinabile,localit�,Si,364713,4768259,,,,,,,,,,,,,,
175,S.,Elpidio,Macerata,Gualdo,,,agionimo,Si,365800,4768558,,,,,,,,,,,,,,,,
176,Morrionem,Macerata,Gualdo,Giammarco,E.1990:257,e,Giammarco,E.1960:87,Murra,=,altura,,roccia,,spuntone.,,,geotoponimo,Si,367337,4769243,,,,,
177,San,Felice,Macerata,Sarnano,,,agionimo,Si,365712,4765844,,,,,,,,,,,,,,,,
178,Rodulphy,Pypini,/,Villa,Macerata,Sarnano,,Nome,di,persona,localit�,Si,361462,4763501,,,,,,,,,,,,
179,Jaconum,/,Villa,Macerata,Sarnano,,Nome,di,persona,localit�,Si,361368,4763610,,,,,,,,,,,,,
180,Angeli,Carbonis,/,Villa,Macerata,Sarnano,,Deriva,da,un,nome/cognome,localit�,Si,361044,4763974,,,,,,,,,,,
181,Selva,de,Montano,Macerata,Gualdo,,Mons=,montagna,fitotoponimo,Si,362899,4762900,,,,,,,,,,,,,,
182,Colle,Cuni,Macerata,Sarnano,Giammarco,,E.,1990:144,Cuneus,=,punta,di,terra,tra,due,fiumi.,,oronimo,Si,362666,4762073,,,,,
183,Calcionum,/,Villa,Macerata,Sarnano,,Calx,=,calce,oppure,da,nome,di,Persona,localit�,Si,362661,4761862,,,,,,,,
184,Monte,Terramure,Macerata,Sarnano,Giammarco,E.,1990:182.,,150,,167,"Terre= terra; mure = muretto a secco, luogo fortificato. ",oronimo,Si,362025,4761740,,,,,,,,,,
185,Vitalis,Martini,/,villa,Macerata,Sarnano,,,localit�,No,0,0,,,,,,,,,,,,,,
186,Acqua,Ceresia,Macerata,Sarnano,Pieri,S.,1969:172,Cerasium,=,,ciliegio.,,idronimo,Si,359224,4759601,,,,,,,,,,
187,Montem,Teconis,Fermo,Amandola,,Non,determinabile,oronimo,Si,357306,4760124,,,,,,,,,,,,,,,
188,Colle,Berardi,Fermo,Amandola,,Nome,germanico,oronimo,Si,357329,4760550,,,,,,,,,,,,,,,
